listing_id,state,city,area,micro_location,address,property_type,listing_status,title_tenure,bedrooms,bathrooms,parking_spaces,land_size_sqm,built_area_sqm,lot_shape,year_built,condition,listing_price_naira,price_per_sqm_naira,estimated_monthly_rent_naira,estimated_annual_rent_naira,service_charge_naira,annual_maintenance_naira,est_insurance_ground_rent_naira,gross_yield,net_yield,est_monthly_mortgage_20pct_down,cash_flow_20pct_down,risk_score,family_fit_score,investor_fit_score,renter_lifestyle_score,commute_score,school_access_score,flood_risk,title_risk,infrastructure_reliability,security_rating,road_access,market_liquidity,short_let_allowed,power_backup,water_supply,internet_reliability,pros,cons,best_for,warning_flags,ai_recommendation_summary,match_tags
NGL-0011,Lagos,Lagos,Victoria Island,Oniru / Water Corp Axis,"Plot 116, Bishop Oluwole Street",Apartment / Flat,Tenant Occupied,Gazette,4,5,5,159,232,Regular,2014,Newly Built,668500000,2881466,3000000,36000000,1000000,9400000,1150000,0.0539,0.0296,9931557,-99408678,44,84,48,78,82,62,Medium,Verification needed,90,76,Good,87,No,Solar + inverter,Tanker-dependent,4G/5G reliable,High market liquidity; Good commute profile; Reliable infrastructure,Drainage/flood checks required; Documentation diligence required,Family,Title verification; Possession timeline,"Good family test candidate in Victoria Island, Lagos; check Title verification, Possession timeline before recommending.",family; prime
NGL-0012,FCT,Abuja,Lugbe,Trademore / FHA,"Plot 190, FHA Lugbe Road",Bungalow,Off-plan,Family Receipt Only,3,3,2,293,136,Compact,2017,Newly Built,57000000,419118,400000,4800000,900000,800000,350000,0.0842,0.0373,846819,-8035832,82,55,38,51,66,51,High,High caution,53,85,Poor,66,No,Inverter,Municipal + borehole,4G/5G reliable,Attractive gross yield; Strong security profile,Drainage/flood checks required; Documentation diligence required; Power/water reliability concern,Family,Flood-zone diligence; High title risk; Road access risk,"Good family test candidate in Lugbe, Abuja; check Flood-zone diligence, High title risk before recommending.",yield; family
NGL-0013,Kano,Kano,Tarauni,Hotoro / Zoo Road,"Plot 87, GRA Road",Uncompleted Shell,Tenant Occupied,Gazette,4,3,4,867,246,Compact,2025,Fair,89000000,361789,0,0,350000,800000,250000,0.0,-0.0157,1322227,-17266720,40,92,24,52,45,71,Low,Verification needed,34,70,Good,51,No,Generator-ready,Estate water,Fiber available,Balanced price for area,Documentation diligence required; Repair budget needed; Commute risk,Family,Title verification; Renovation/structural check; Possession timeline,"Good family test candidate in Tarauni, Kano; check Title verification, Renovation/structural check before recommending.",family; low-flood-risk; renovation
NGL-0014,Kwara,Ilorin,GRA Ilorin,Tanke / GRA Link,"Plot 151, Central Link Road",Terrace House,For Sale,Governor's Consent,5,5,5,298,252,Compact,2000,Good,97500000,386905,600000,7200000,750000,600000,550000,0.0738,0.0448,1448507,-13018081,34,67,48,45,55,57,Medium,Clean,38,73,Poor,50,No,Inverter,Borehole,4G/5G reliable,Attractive gross yield; Large family layout,Drainage/flood checks required; Power/water reliability concern; Road quality risk,Family,Road access risk,"Good family test candidate in GRA Ilorin, Ilorin; check Road access risk before recommending.",family; clean-title
NGL-0015,Rivers,Port Harcourt,Rumuodara,East-West Road Axis,"Plot 84, Unity Road",Apartment / Flat,For Sale,Excision in Process,4,3,5,177,248,Compact,2019,Newly Built,118500000,477823,700000,8400000,400000,1000000,200000,0.0709,0.0482,1760493,-15417914,46,71,42,62,60,20,Medium,Verification needed,43,63,Good,48,No,Solar + inverter,Estate water,Fiber available,Attractive gross yield,Drainage/flood checks required; Documentation diligence required; Power/water reliability concern,Family,Title verification; Power cost exposure,"Good family test candidate in Rumuodara, Port Harcourt; check Title verification, Power cost exposure before recommending.",family
NGL-0016,Cross River,Calabar,State Housing,Marian / Etta Agbor,"Plot 197, Central Link Road",Apartment / Flat,For Sale,Gazette,1,2,0,34,54,Compact,2009,Good,17000000,314815,100000,1200000,200000,100000,100000,0.0706,0.0379,252560,-2386722,34,77,52,60,39,68,Low,Verification needed,55,73,Good,70,No,Inverter,Borehole,Fiber available,Attractive gross yield,Documentation diligence required; Commute risk,Family,Title verification,"Good family test candidate in State Housing, Calabar; check Title verification before recommending.",budget; family; low-flood-risk
NGL-0017,Lagos,Lagos,Sangotedo,Novare / Monastery Road,"Plot 65, Crown Estate Road",Townhouse,Off-plan,Gazette,4,4,4,175,232,Corner plot,2023,Excellent,149000000,642241,950000,11400000,400000,850000,800000,0.0765,0.0528,2213615,-18695385,71,72,39,59,75,80,High,Verification needed,68,62,Good,64,No,Inverter,Estate water,Unknown,Strong school access; Good commute profile; Attractive gross yield,Drainage/flood checks required; Documentation diligence required,Family,Flood-zone diligence; Title verification,"Good family test candidate in Sangotedo, Lagos; check Flood-zone diligence, Title verification before recommending.",yield; family
NGL-0018,Rivers,Port Harcourt,Peter Odili Road,Golf Estate / Rainbow Town,"Plot 82, Government House Road",Detached Duplex,For Sale,Excision in Process,5,5,4,1088,363,Regular,1987,Fair,381000000,1049587,1900000,22800000,450000,4750000,750000,0.0598,0.0364,5660319,-54037824,49,76,44,65,68,55,Medium,Verification needed,67,79,Fair,71,No,Inverter,Borehole,4G/5G reliable,Strong security profile; Large family layout,Drainage/flood checks required; Documentation diligence required; Repair budget needed,Family,Title verification; Renovation/structural check,"Good family test candidate in Peter Odili Road, Port Harcourt; check Title verification, Renovation/structural check before recommending.",family; renovation
NGL-0019,Lagos,Lagos,Yaba,Sabo / Alagomeji,"Plot 75, Alagomeji Road",Penthouse,For Sale,Registered Deed,4,5,3,161,205,Corner plot,2014,Excellent,322500000,1573171,2750000,33000000,900000,3650000,1400000,0.1023,0.0706,4791215,-34734576,46,78,68,75,80,78,Medium,Verification needed,77,63,Fair,84,Yes,Inverter,Estate water,Fiber available,High market liquidity; Strong school access; Good commute profile,Drainage/flood checks required; Documentation diligence required; Road quality risk,Investor,Title verification,"Good investor test candidate in Yaba, Lagos; check Title verification before recommending.",yield; investor
NGL-0020,Lagos,Lagos,Ikoyi,Ikoyi South / Banana Link,"Plot 129, Bourdillon Road",Semi-detached Duplex,For Sale,Family Receipt Only,5,4,5,1000,338,Compact,2015,Newly Built,992500000,2936391,6550000,78600000,3250000,10000000,3700000,0.0792,0.0518,14745056,-125508671,62,88,45,73,84,69,Low,High caution,86,56,Excellent,73,No,Solar + inverter,Borehole,4G/5G reliable,Good commute profile; Attractive gross yield; Reliable infrastructure,Documentation diligence required; High annual service charge,Family,High title risk; High service charge,"Good family test candidate in Ikoyi, Lagos; check High title risk, High service charge before recommending.",yield; family; low-flood-risk; prime
NGL-0021,Oyo,Ibadan,Jericho,Onireke / Aleshinloye,"Plot 133, Unity Road",Semi-detached Duplex,For Sale,C of O,4,4,4,426,231,Irregular,2018,Excellent,183500000,794372,850000,10200000,650000,1500000,950000,0.0556,0.0315,2726164,-26939968,21,96,61,63,57,67,Low,Clean,71,96,Excellent,79,Yes,Solar + inverter,Municipal + borehole,4G/5G reliable,High market liquidity; Reliable infrastructure; Strong security profile,May require negotiation to improve value,Family,No major synthetic flags,"Good family test candidate in Jericho, Ibadan; check pricing and inspection before recommending.",family; low-flood-risk; clean-title
NGL-0022,Rivers,Port Harcourt,Trans Amadi,Industrial Layout / Rumuobiakani,"Plot 10, GRA Road",Semi-detached Duplex,Off-plan,Governor's Consent,4,3,4,669,241,Corner plot,2023,Excellent,204000000,846473,1200000,14400000,900000,2250000,1100000,0.0706,0.0406,3030722,-28090662,26,82,54,54,42,64,Low,Clean,49,63,Fair,69,No,Inverter,Borehole,4G/5G reliable,Attractive gross yield; Large family layout,Commute risk; Power/water reliability concern; Road quality risk,Family,No major synthetic flags,"Good family test candidate in Trans Amadi, Port Harcourt; check pricing and inspection before recommending.",family; low-flood-risk; clean-title
NGL-0023,FCT,Abuja,Apo,Legislative Quarters / Resettlement,"Plot 32, Apo Legislative Quarters",Bungalow,Off-plan,Excision in Process,4,5,4,997,253,Regular,2018,Good,228000000,901186,900000,10800000,500000,1150000,1350000,0.0474,0.0281,3387277,-34251328,34,95,48,61,66,79,Low,Verification needed,54,76,Good,84,No,None,Estate water,4G/5G reliable,High market liquidity; Strong school access; Strong security profile,Documentation diligence required; Power/water reliability concern,Family,Title verification,"Good family test candidate in Apo, Abuja; check Title verification before recommending.",family; low-flood-risk
NGL-0024,Lagos,Lagos,Epe,Alaro City / Epe Town,"Plot 120, Epe Marina Road",Bungalow,Off-plan,Governor's Consent,3,4,3,533,157,Compact,1997,Good,117500000,748408,300000,3600000,450000,1600000,500000,0.0306,0.005,1745636,-20365636,36,71,43,61,70,20,Medium,Clean,46,63,Good,59,Yes,Shared generator,Estate water,4G/5G reliable,Short-let optionality,Drainage/flood checks required; Power/water reliability concern,Family,No major synthetic flags,"Good family test candidate in Epe, Lagos; check pricing and inspection before recommending.",family; clean-title
NGL-0025,FCT,Abuja,Gwarinpa,3rd Avenue / 5th Avenue,"Plot 50, Setraco Gate Road",Semi-detached Duplex,For Sale,Governor's Consent,5,4,5,775,426,Corner plot,2002,Fair,349000000,819249,1600000,19200000,550000,2600000,1100000,0.055,0.0357,5184911,-49764936,43,84,50,63,61,80,Medium,Clean,69,55,Good,68,Yes,Inverter,Municipal + borehole,Fiber available,Strong school access; Large family layout; Short-let optionality,Drainage/flood checks required; Repair budget needed,Family,Renovation/structural check,"Good family test candidate in Gwarinpa, Abuja; check Renovation/structural check before recommending.",family; clean-title; renovation
NGL-0026,FCT,Abuja,Asokoro,Aso Drive / ECOWAS Axis,"Plot 121, ECOWAS Road",Bungalow,For Sale,Registered Deed,3,4,3,597,175,Corner plot,2005,Good,389000000,2222857,1600000,19200000,1950000,5200000,2000000,0.0494,0.0194,5779171,-61796046,36,93,48,62,70,83,Low,Verification needed,87,60,Good,82,No,Shared generator,Borehole,Patchy broadband,High market liquidity; Strong school access; Reliable infrastructure,Documentation diligence required; High annual service charge,Family,Title verification; High service charge,"Good family test candidate in Asokoro, Abuja; check Title verification, High service charge before recommending.",family; low-flood-risk; prime
NGL-0027,Cross River,Calabar,State Housing,Marian / Etta Agbor,"Plot 35, Central Link Road",Apartment / Flat,Tenant Occupied,C of O,3,4,3,137,136,Corner plot,2026,Newly Built,49500000,363971,300000,3600000,300000,500000,250000,0.0727,0.0421,735396,-6742749,24,71,60,52,46,47,Low,Clean,56,70,Poor,58,Yes,Generator-ready,Municipal + borehole,Fiber available,Attractive gross yield; Short-let optionality,Commute risk; Road quality risk,Family,Possession timeline; Road access risk,"Good family test candidate in State Housing, Calabar; check Possession timeline, Road access risk before recommending.",budget; family; low-flood-risk; clean-title
NGL-0028,FCT,Abuja,Lugbe,Trademore / FHA,"Plot 115, FHA Lugbe Road",Terrace House,For Sale,C of O,4,5,3,173,181,Regular,2023,Excellent,97500000,538674,700000,8400000,650000,700000,400000,0.0862,0.057,1448507,-11824081,23,75,56,39,56,55,Low,Clean,44,80,Poor,54,No,Shared generator,Estate water,Patchy broadband,Attractive gross yield; Strong security profile; Large family layout,Power/water reliability concern; Road quality risk,Family,Road access risk,"Good family test candidate in Lugbe, Abuja; check Road access risk before recommending.",yield; family; low-flood-risk; clean-title
NGL-0029,Lagos,Lagos,Surulere,Bode Thomas / Aguda,"Plot 57, Masha Road",Semi-detached Duplex,Tenant Occupied,C of O,5,5,5,670,349,Compact,1999,Fair,293000000,839542,1350000,16200000,250000,1250000,1100000,0.0553,0.0392,4352948,-40741382,31,84,52,55,67,72,Low,Clean,58,66,Fair,86,No,None,Borehole,Patchy broadband,High market liquidity; Large family layout,Repair budget needed; Road quality risk,Family,Renovation/structural check; Possession timeline; Power cost exposure,"Good family test candidate in Surulere, Lagos; check Renovation/structural check, Possession timeline before recommending.",family; low-flood-risk; clean-title; renovation
NGL-0030,Delta,Asaba,Okpanam Road,Summit / DBS Axis,"Plot 166, Government House Road",Serviced Apartment,Price Reduced,Governor's Consent,3,4,3,118,142,Irregular,2020,Excellent,79000000,556338,450000,5400000,1150000,550000,200000,0.0684,0.0354,1173662,-11285943,26,79,50,57,63,57,Low,Clean,52,57,Fair,55,No,Generator-ready,Estate water,Patchy broadband,Attractive gross yield,Power/water reliability concern; Road quality risk,Family,Short-let restriction,"Good family test candidate in Okpanam Road, Asaba; check Short-let restriction before recommending.",family; low-flood-risk; clean-title
NGL-0031,Oyo,Ibadan,Jericho,Onireke / Aleshinloye,"Plot 166, Estate Avenue",Semi-detached Duplex,Distress Sale,Governor's Consent,5,6,4,823,297,Compact,1987,Good,203500000,685185,1400000,16800000,100000,1450000,350000,0.0826,0.0625,3023294,-23563523,26,91,61,65,67,74,Low,Clean,68,61,Excellent,55,Yes,Inverter,Tanker-dependent,Fiber available,Attractive gross yield; Large family layout; Short-let optionality,May require negotiation to improve value,Family,No major synthetic flags,"Good family test candidate in Jericho, Ibadan; check pricing and inspection before recommending.",yield; family; low-flood-risk; clean-title
NGL-0032,Kwara,Ilorin,GRA Ilorin,Tanke / GRA Link,"Plot 55, Ring Road",Bungalow,For Sale,Registered Deed,4,4,4,1028,291,Regular,1992,Good,166000000,570447,350000,4200000,900000,850000,400000,0.0253,0.0091,2466176,-28090107,35,80,35,68,90,57,Low,Verification needed,58,64,Fair,59,No,Solar + inverter,Municipal + borehole,4G/5G reliable,Good commute profile,Documentation diligence required; Road quality risk,Family,Title verification,"Good family test candidate in GRA Ilorin, Ilorin; check Title verification before recommending.",family; low-flood-risk
NGL-0033,Lagos,Lagos,Yaba,Sabo / Alagomeji,"Plot 44, Sabo Road",Serviced Apartment,Tenant Occupied,Governor's Consent,3,3,4,96,141,Corner plot,2017,Excellent,206000000,1460993,1250000,15000000,2100000,2400000,850000,0.0728,0.0374,3060435,-29025217,23,93,63,72,95,71,Low,Clean,48,78,Good,95,No,Inverter,Municipal + borehole,Fiber available,High market liquidity; Good commute profile; Attractive gross yield,High annual service charge; Power/water reliability concern,Family,High service charge; Possession timeline; Short-let restriction,"Good family test candidate in Yaba, Lagos; check High service charge, Possession timeline before recommending.",family; low-flood-risk; clean-title
NGL-0034,Cross River,Calabar,State Housing,Marian / Etta Agbor,"Plot 74, Unity Road",Semi-detached Duplex,For Sale,C of O,4,5,4,611,241,Regular,2018,Newly Built,121500000,504149,750000,9000000,400000,1600000,250000,0.0741,0.0459,1805062,-16080747,26,73,64,43,30,61,Low,Clean,57,62,Poor,75,Yes,None,Municipal + borehole,Fiber available,High market liquidity; Attractive gross yield; Large family layout,Commute risk; Road quality risk,Family,Road access risk,"Good family test candidate in State Housing, Calabar; check Road access risk before recommending.",family; low-flood-risk; clean-title
NGL-0035,Edo,Benin City,Ugbowo,University Axis,"Plot 99, GRA Road",Apartment / Flat,Price Reduced,Registered Deed,1,2,1,38,63,Irregular,2023,Good,20000000,317460,100000,1200000,850000,300000,100000,0.06,-0.0103,297130,-3771555,34,69,44,55,56,68,Low,Verification needed,52,70,Fair,50,No,Generator-ready,Borehole,Patchy broadband,Balanced price for area,Documentation diligence required; Power/water reliability concern; Road quality risk,Family,Title verification,"Good family test candidate in Ugbowo, Benin City; check Title verification before recommending.",budget; family; low-flood-risk
NGL-0036,FCT,Abuja,Wuse 2,Aminu Kano / Ademola Adetokunbo,"Plot 138, Ademola Adetokunbo Crescent",Bungalow,For Sale,C of O,2,1,2,249,78,Compact,2018,Newly Built,172000000,2205128,850000,10200000,1100000,2400000,500000,0.0593,0.0283,2555314,-25789774,37,75,49,65,45,76,Medium,Clean,95,56,Excellent,77,No,None,Borehole,4G/5G reliable,High market liquidity; Strong school access; Reliable infrastructure,Drainage/flood checks required; Commute risk,Family,No major synthetic flags,"Good family test candidate in Wuse 2, Abuja; check pricing and inspection before recommending.",family; clean-title; prime
NGL-0037,FCT,Abuja,Life Camp,Kado / Paradise Estate,"Plot 40, Paradise Estate Road",Mixed-use Residential,Tenant Occupied,C of O,3,2,2,316,151,Compact,2016,Newly Built,220000000,1456954,1000000,12000000,300000,1300000,850000,0.0545,0.0363,3268425,-31231106,28,65,51,55,81,42,Low,Clean,55,47,Poor,77,No,Generator-ready,Tanker-dependent,4G/5G reliable,High market liquidity; Good commute profile,Road quality risk,Family,Possession timeline; Road access risk,"Good family test candidate in Life Camp, Abuja; check Possession timeline, Road access risk before recommending.",family; low-flood-risk; clean-title
NGL-0038,Anambra,Awka,Aroma,Government House Axis,"Plot 195, Unity Road",Uncompleted Shell,For Sale,Gazette,2,3,2,212,91,Compact,2019,Excellent,26500000,291209,0,0,550000,350000,100000,0.0,-0.0377,393697,-5724360,33,81,31,58,49,52,Low,Verification needed,58,78,Good,69,No,None,Borehole,Fiber available,Strong security profile,Documentation diligence required; Commute risk,Family,Title verification,"Good family test candidate in Aroma, Awka; check Title verification before recommending.",budget; family; low-flood-risk
NGL-0039,Oyo,Ibadan,Oluyole,Industrial Estate / Ring Road,"Plot 102, Estate Avenue",Detached Duplex,For Sale,Governor's Consent,4,3,5,487,228,Irregular,1993,Good,200000000,877193,700000,8400000,100000,2150000,850000,0.042,0.021,2971296,-31447551,26,86,45,60,74,57,Low,Clean,74,60,Good,66,No,Solar + inverter,Borehole,Patchy broadband,Reliable infrastructure; Large family layout,May require negotiation to improve value,Family,No major synthetic flags,"Good family test candidate in Oluyole, Ibadan; check pricing and inspection before recommending.",family; low-flood-risk; clean-title
NGL-0040,Lagos,Lagos,Yaba,Sabo / Alagomeji,"Plot 96, Alagomeji Road",Detached Duplex,For Sale,C of O,6,6,5,1077,474,Corner plot,2004,Good,1068500000,2254219,3200000,38400000,150000,5100000,4900000,0.0359,0.0218,15874148,-167231780,25,82,50,58,29,66,Low,Clean,79,64,Fair,64,Yes,Shared generator,Borehole,4G/5G reliable,Reliable infrastructure; Large family layout; Short-let optionality,Commute risk; Road quality risk,Family,No major synthetic flags,"Good family test candidate in Yaba, Lagos; check pricing and inspection before recommending.",family; low-flood-risk; clean-title
NGL-0041,Enugu,Enugu,New Haven,Upper Chime / Nike Road,"Plot 44, Government House Road",Semi-detached Duplex,For Sale,Governor's Consent,4,4,5,616,206,Regular,2014,Newly Built,126500000,614078,850000,10200000,300000,650000,600000,0.0806,0.0579,1879345,-15228136,37,74,57,53,60,67,Medium,Clean,58,55,Fair,85,No,Shared generator,Borehole,Patchy broadband,High market liquidity; Attractive gross yield; Large family layout,Drainage/flood checks required; Road quality risk,Investor,Unpermitted extension,"Good investor test candidate in New Haven, Enugu; check Unpermitted extension before recommending.",yield; investor; clean-title
NGL-0042,Ogun,Abeokuta,Laderin,Kobape / Oke-Mosan Axis,"Plot 198, Central Link Road",Semi-detached Duplex,For Sale,C of O,5,6,5,609,333,Corner plot,2025,Good,104500000,313814,550000,6600000,550000,1050000,350000,0.0632,0.0363,1552502,-14838025,23,75,45,53,60,56,Low,Clean,66,78,Poor,38,No,Generator-ready,Municipal + borehole,4G/5G reliable,Strong security profile; Large family layout,Road quality risk,Family,Road access risk,"Good family test candidate in Laderin, Abeokuta; check Road access risk before recommending.",family; low-flood-risk; clean-title
NGL-0043,Ekiti,Ado-Ekiti,Ajilosun,Fajuyi / Basiri Axis,"Plot 12, Government House Road",Semi-detached Duplex,Tenant Occupied,Governor's Consent,4,3,4,509,260,Irregular,2005,Needs Renovation,59500000,228846,300000,3600000,800000,500000,100000,0.0605,0.0291,883961,-8875526,37,88,50,59,66,54,Low,Clean,42,71,Excellent,50,Yes,Shared generator,Borehole,Fiber available,Large family layout; Short-let optionality,Repair budget needed; Power/water reliability concern,Family,Renovation/structural check; Possession timeline,"Good family test candidate in Ajilosun, Ado-Ekiti; check Renovation/structural check, Possession timeline before recommending.",family; low-flood-risk; clean-title; renovation
NGL-0044,FCT,Abuja,Jabi,Lake Mall / Utako Link,"Plot 73, Alex Ekwueme Way",Apartment / Flat,For Sale,C of O,1,1,0,25,45,Compact,2020,Excellent,56500000,1255556,400000,4800000,3450000,350000,200000,0.085,0.0031,839391,-9896693,22,81,66,70,56,73,Low,Clean,81,87,Good,92,No,Generator-ready,Estate water,Fiber available,High market liquidity; Attractive gross yield; Reliable infrastructure,High annual service charge,Family,High service charge,"Good family test candidate in Jabi, Abuja; check High service charge before recommending.",yield; family; low-flood-risk; clean-title
NGL-0045,FCT,Abuja,Asokoro,Aso Drive / ECOWAS Axis,"Plot 171, Gana Street",Apartment / Flat,For Sale,Registered Deed,3,4,3,150,148,Irregular,2019,Good,228000000,1540541,1950000,23400000,1300000,2550000,1000000,0.1026,0.068,3387277,-25139328,36,93,62,79,80,82,Low,Verification needed,94,63,Good,77,No,Solar + inverter,Estate water,4G/5G reliable,High market liquidity; Strong school access; Good commute profile,Documentation diligence required,Family,Title verification,"Good family test candidate in Asokoro, Abuja; check Title verification before recommending.",yield; family; low-flood-risk; prime
NGL-0046,Oyo,Ibadan,Jericho,Onireke / Aleshinloye,"Plot 156, Government House Road",Semi-detached Duplex,Tenant Occupied,Governor's Consent,5,5,5,690,316,Compact,2023,Excellent,213500000,675633,1400000,16800000,550000,1800000,400000,0.0787,0.0556,3171858,-26196300,24,92,62,63,63,71,Low,Clean,63,73,Excellent,59,Yes,Inverter,Estate water,4G/5G reliable,Attractive gross yield; Large family layout; Short-let optionality,May require negotiation to improve value,Family,Possession timeline,"Good family test candidate in Jericho, Ibadan; check Possession timeline before recommending.",yield; family; low-flood-risk; clean-title
